<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 21:35:18>,,,,,
<FILE: C:\FG2_Shell_V3\data/A543E3/raw/A543E3_20230801133449.f2b>,,,,,
<LOGGER: $A543E3>,,,,,
<FILESIZE: 125196 Bytes>,,,,,
<MEMORY CLEAR>,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543E3/par/A543E3_20220923212752.f2p>,,,,,
<PERIOD: 3600 sec>,,,,,
<TIME: 23.09.2022 22:29:08>,,,,,
<HK-BATUSED: 0.0 % (CALC)>,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-BAT:V
334,07.10.2022 19:00:00,8.08385,5.8829,-5.12804,
335,07.10.2022 20:00:00,11.795,5.84802,-5.16551,
336,07.10.2022 21:00:00,11.4066,5.78046,-5.15753,
337,07.10.2022 22:00:00,10.9902,5.82039,-5.15471,
338,07.10.2022 23:00:00,12.2087,5.83105,-5.16352,3.419
339,08.10.2022 00:00:00,13.1854,5.77029,-5.17562,
340,08.10.2022 01:00:00,9.81825,5.77018,-5.13515,
341,08.10.2022 02:00:00,10.3087,5.77381,-5.15847,
342,08.10.2022 03:00:00,8.7648,5.67559,-5.12368,
343,08.10.2022 04:00:00,6.2648,5.73223,-5.12521,
344,08.10.2022 05:00:00,2.49708,5.78447,-5.09658,3.457
345,08.10.2022 06:00:00,-2.92038,5.78859,-5.07958,
346,08.10.2022 07:00:00,-4.29762,5.80567,-5.07943,
347,08.10.2022 08:00:00,-5.00715,5.80924,-5.07506,
348,08.10.2022 09:00:00,-2.70504,5.82528,-5.09361,
349,08.10.2022 10:00:00,-1.41826,5.82748,-5.09766,
350,08.10.2022 11:00:00,-1.00397,5.82737,-5.09435,3.454
351,08.10.2022 12:00:00,-4.67328,5.82676,-5.06916,
352,08.10.2022 13:00:00,-3.23995,5.83973,-5.08513,
353,08.10.2022 14:00:00,-5.35477,5.84011,-5.07188,
354,08.10.2022 15:00:00,-8.09868,5.84418,-5.05284,
355,08.10.2022 16:00:00,-6.32461,5.85181,-5.07567,
356,08.10.2022 17:00:00,-8.38334,5.84945,-5.0539,3.455
357,08.10.2022 18:00:00,-1.79074,5.86423,-5.10257,
358,08.10.2022 19:00:00,2.61454,5.88384,-5.1207,
359,08.10.2022 20:00:00,5.03993,5.87631,-5.11173,
360,08.10.2022 21:00:00,5.66639,5.89246,-5.11199,
361,08.10.2022 22:00:00,9.04947,5.85423,-5.13833,
362,08.10.2022 23:00:00,6.02512,5.85406,-5.10029,3.453
363,09.10.2022 00:00:00,6.14152,5.83951,-5.10439,
364,09.10.2022 01:00:00,5.51136,5.84885,-5.10443,
